name,face_recognition_dst,openface_OEN_dst,openface_IEBL_dst,dlib_trained_model,sift_feature,is_different_gender,pca_eigenface_dst,target
face_cropping/test\1590484072315_0,0.36298016285038126,0.7478173971176147,0.6330459713935852,0.35628097187169494,23,1,9733387.068429573,0
face_cropping/test\1590484321949_0,0.4392893625075038,0.7726747989654541,0.6512806415557861,0.4558736272536079,19,0,11296508.126532398,0
face_cropping/test\1590484360364_0,0.41121280638648056,0.7699652314186096,0.8139146566390991,0.4180147191630747,15,0,16087913.880433911,0
face_cropping/test\1590484379875_1,0.4897422069997763,0.7631749510765076,0.5858848094940186,0.4954076314100973,11,1,20602870.581376288,1
face_cropping/test\1590484423008_0,0.36584598775633514,1.0167537927627563,0.8330370783805847,0.3981575432901854,6,0,12212743.152468428,0
face_cropping/test\1590484444798_1,0.5993305793809424,1.0945402383804321,0.9643214344978333,0.6510600544271722,2,0,40847747.14157346,1
face_cropping/test\1590484887269_1,0.6008412623307644,0.5079127550125122,0.57573401927948,0.5475187242372377,57,0,5921707.458346833,1
face_cropping/test\1590488487337_0,0.4501905086574613,0.7765403389930725,0.8138511180877686,0.46163612556412226,2,0,18066595.22987904,0
face_cropping/test\1590488578507_0,,,,0.5538335291749642,122,1,17146034.83176249,0
face_cropping/test\1590488635335_1,0.6064467112755003,0.6907017230987549,0.7688818573951721,0.6136208151387306,10,0,8804868.89059755,1
face_cropping/test\1590488722297_0,0.6105294091199096,0.8257334232330322,0.8749321699142456,0.5601678983934538,184,1,18490427.256347656,0
face_cropping/test\1590488781554_1,0.6990281588939609,1.0435832738876343,0.9782326817512512,0.6900788603506365,117,1,6924966.1158434935,1
face_cropping/test\1590488821916_0,0.252196523037272,0.3566269874572754,0.3947778642177582,0.2741868745247292,24,1,3435278.8922825465,0
face_cropping/test\1590488882407_0,0.45858312651551963,0.7881219387054443,0.6552446484565735,0.46066389804140995,298,0,28328915.848305676,0
face_cropping/test\1590559380207_0,0.4829091766630287,0.9815061688423157,1.0246388912200928,0.4587241385252391,6,0,11174299.568646705,0
face_cropping/test\1590559922438_0,0.39579394271470414,0.39180701971054077,0.5143604278564453,0.4027579966520103,11,0,7256039.874756064,0
face_cropping/test\1590560684078_0,0.3060339364239208,0.36853253841400146,0.2899185121059418,0.35604673869781417,21,0,14595146.411525235,0
face_cropping/test\1590561350990_1,0.679555885652774,0.7922376394271851,0.9283812046051025,0.6589035685676077,10,1,5799957.812762131,1
face_cropping/test\1590562909576_1,0.7456133579515187,1.2113254070281982,1.2658480405807495,0.7025627514704056,10,0,15722049.053673396,1
face_cropping/test\1590563866941_0,0.4334036620673456,0.49661165475845337,0.47539401054382324,0.42991710845359443,7,1,4259689.738720475,0
face_cropping/test\1590564072492_0,0.43234226345755494,0.5712477564811707,0.6216185092926025,0.40335881808012347,7,1,30577053.671750788,0
face_cropping/test\1590564201537_0,0.5801749047570564,0.6040752530097961,0.8712561726570129,0.6217862862909848,2,1,31931660.96089697,0
face_cropping/test\1590564344901_0,0.43589720213710753,0.5638264417648315,0.6403249502182007,0.4217712272981801,9,0,2733030.641789532,0
